Date,AAPL,GOOGL,AMZN,MSFT,JPM,V,JNJ,PG,XOM,T,BAC,WMT,INTC,PFE,VZ,KO,TSLA,MRK,DIS,UNH,HD,ADBE,CMCSA,PEP,CSCO,NVDA,NFLX,ABT,NKE,CVX,ACN,TMUS,BMY,LLY,TMO,IBM,MCD,ORCL,UPS,MDT,COST,PM,AVGO,SAP,HON,NEE,TXN,MO
2019-12-04,63.75545202261759,65.30500030517578,88.70050048828125,145.28118839537592,116.3826921331479,178.38172800700747,126.28488050347653,111.90056053964136,56.343114896678664,21.00674581906104,30.28100071019386,112.15076861333962,50.998046039018455,31.84078515626018,49.62485094796977,48.24061731792448,22.516666412353516,74.15138162084561,148.41084121941293,266.68235625363434,196.4496353427469,305.0,39.996030125187694,121.54706465495137,39.62047099623453,52.55860379308825,308.42999267578125,79.42728124762365,89.72576705747888,99.38053557050883,189.37551555724767,78.05000305175781,51.44114306582016,112.02877533373018,309.5308568463478,106.69381510702658,178.6200683470427,51.63268421329758,105.54636504647131,100.94822648840281,280.9251715200322,66.97909069673833,272.4948965430261,125.33636785202188,162.04751026514208,53.79010696062488,109.1167922665439,37.04034038407108
2019-12-05,64.41969178225968,66.3499984741211,88.17500305175781,145.19414483664085,118.43577782303734,177.00473625213638,127.05990984626544,113.28622293881742,56.87145636970029,21.302926842077092,30.519945347087216,111.93507775716535,50.77303116671231,31.957392120265425,50.129201174048795,48.608261946610796,22.18866729736328,75.16799597225285,147.80446037453837,264.42856177650657,197.24096766509172,303.1300048828125,39.794676633657446,123.52308319324585,39.20219332414799,52.37927780974512,305.2699890136719,80.01007220842881,92.69375610816057,100.21551838248605,189.60304244287212,78.06999969482422,52.357355613445556,112.14242836481206,313.179593927616,106.79821808948951,179.45972264376405,51.25648965950548,104.51989874972726,101.66573185605469,281.95958660309117,66.66228636175173,273.23384774089095,125.60511123379574,161.7680820523038,54.13144188343385,109.65337716650454,37.144277375306466
2019-12-06,65.32081611605241,66.63749694824219,87.55999755859375,146.10371153901104,120.22997233856007,178.45985481033404,127.16020349793293,113.70556716053156,56.76415318139227,21.397932778317458,30.998543730362524,112.6160007543228,50.998052168664906,31.882434035974352,50.435120813191986,48.697916579869116,22.333332061767578,75.39671674653424,147.51619232643478,268.8673166857611,197.10292547003127,306.20001220703125,40.60008518901947,123.95847111120935,39.059805087378294,52.68314202012575,304.70001220703125,80.52702341757909,93.351154576843,99.76394281406857,190.9302511603278,77.54000091552734,53.264657009821974,113.62944775406042,315.9360514716416,106.6054941612528,179.5058323955286,51.75495456931595,104.447855135888,102.17431510850889,279.91933628442246,67.54768037244779,276.7967509807848,125.58656962291441,162.92309921547584,54.43099090157987,110.90841994312844,37.41155390469761
2019-12-09,65.93621715590409,66.94300079345703,87.53299713134766,146.18109189273162,120.176423877775,177.63950652896764,128.00817572495657,113.3226825806806,57.02832622107696,21.302927715295553,30.832876863592407,113.0793904304771,50.890045118526906,31.73251609323383,50.4185829300761,48.68894831352966,22.439332962036133,75.31199977663304,147.07882648002152,266.89960860349487,197.17653964835876,308.9100036621094,40.50856387164684,124.39379904109136,39.05980132023345,52.61589224164249,307.3500061035156,80.01005021833718,93.79584698920179,99.27828389913802,191.28100237153552,77.69999694824219,53.896232107426066,113.21270278465745,316.69956584656177,107.08730713733547,180.53000689499987,51.576254259858835,105.3482708190963,102.47404849222265,279.9383450014439,68.04314947018152,277.9931742668423,125.22513169446707,163.17457666718812,54.554063503237224,111.19037192467205,37.40413479405162
2019-12-10,65.59432912345116,66.99700164794922,87.37000274658203,146.3939924257082,118.94455357377856,178.27428952973062,128.38202224222033,113.75114927062164,57.50712027528348,21.274984384475122,30.740841443313524,112.87133685099093,51.04305859281877,31.874102764285595,50.55914713075739,48.45582624811752,22.663999557495117,75.05785536941589,144.3948801153485,263.88626161315835,199.22846988366095,306.6199951171875,40.023489865777144,124.81102186785022,39.02421331608962,53.14640573965733,296.1199951171875,78.84450228718309,93.54450938496798,100.56484765082791,191.5275114364708,75.79000091552734,54.287618390086884,114.18826663715299,314.5380574678006,107.54506190308668,179.57042498957082,52.10293000455365,106.36573659894883,101.13894889204865,280.9157026376648,67.69387958966043,277.20133421012474,124.41884052967823,162.53191932503168,54.419383384002536,111.1266987384879,37.18140141052954
2019-12-11,65.6456063290937,67.41500091552734,87.08350372314453,146.63588479524378,119.8729333282668,178.78213339176082,128.50054958893932,113.28621844950023,56.74763276898116,21.2470427380366,30.814467693753794,112.91861724264102,51.223061776527125,31.957389580916946,50.732778605932026,48.36615349655401,23.458667755126953,75.51532071778499,146.51220794151388,264.55158524324787,194.17690691134217,305.1499938964844,39.163159293943174,124.3031431567839,39.47808068559634,53.400460357611294,294.489990234375,79.54006872587748,93.67985231336456,99.76394222645733,191.62231693512956,75.08000183105469,55.924339588602855,114.18824782867866,314.16125533634624,107.69762922994848,180.53924010811514,52.479120857495005,106.73490935098948,101.30242505997315,280.887263948642,68.43303823384365,277.27175698915516,124.41886129805229,162.62500989316365,54.56798075961046,110.29910039727433,37.122010325771356
2019-12-12,65.39407827583541,67.1604995727539,87.5,146.7423429228148,120.05146558971781,177.40517082524627,128.8561635836053,113.75112273920624,56.9292646746844,21.347635807017053,31.090586436654924,112.54033956283749,51.07905018941911,31.790808802075713,50.51780365912409,48.428918937047065,23.661333084106445,75.43060483790568,147.03905563772307,267.14671164831196,195.5294711459269,303.0,38.61400858167474,124.0763733338247,39.64716899011153,53.843799532443754,295.6700134277344,79.69046470799887,94.08589403519827,99.3379356903783,191.65075808366177,75.2300033569336,55.52405679994001,114.1882487658022,315.9757105260055,107.36837547328892,180.15171537597203,52.94936461872417,103.70952585886175,101.2025354819885,280.19455439324787,68.91225756091791,281.2745098488173,125.1880752083888,164.2551401168727,54.6887419312395,112.59092843759586,37.30019531363081
2019-12-13,66.2927569347454,67.3949966430664,88.25,148.04865887951334,123.13998703716994,178.22548458441145,128.65559982476478,113.2315224077134,58.18407442124611,21.35322176909147,31.928134205763303,112.69165717722497,51.79911043406318,32.08232178199652,50.53434184881833,48.366147800053994,24.06999969482422,76.08430009126039,147.42999267578125,270.89213845870825,195.17984386151542,314.1099853515625,39.20892015146116,124.19425142190207,40.8575010867184,55.83884508063268,298.5,80.63042507818756,94.1922449742591,101.43391697309923,192.50399382688025,74.97000122070312,56.96507870844534,115.5332159324634,316.5607305850206,108.21158673270799,180.8806485832409,51.726735612079075,106.27569119958108,101.77471308400027,279.5967317243448,68.2299714197306,279.80546283988775,126.99526747075055,165.23311685957867,54.12215338335198,114.55535810254747,37.04776195652584
2019-12-16,67.64569175543365,67.75,88.3499984741211,150.09034365484055,123.52383742895888,181.96580288317284,129.22997721354295,114.38015446813904,57.540146711608394,21.442638263949803,32.16743780669075,113.88325359690643,52.39315507893291,32.23223609325836,50.211887252485624,49.03864709136986,24.170000076293945,76.46812499311847,147.58999633789062,273.7439342767105,197.305376997337,319.2699890136719,40.16993000126974,124.21241000560255,40.759597528365056,56.26475532016475,300.8500061035156,81.73018899393767,94.87864939390202,101.27203749933327,196.35289665484208,75.52999877929688,56.12893425084524,116.56561267986821,320.11173850903833,108.36416999133526,182.31075586070725,51.35054136616612,107.25715637207031,103.60023682421865,278.06888801425544,69.32651954438484,279.7262695078679,128.47810934291135,165.12137640138894,55.088131161747775,116.02867546491088,37.65655776044305
2019-12-17,68.27329767968281,68.12049865722656,88.90049743652344,150.41934436560283,122.94362769042039,182.13178586142286,130.38801243321356,114.48954175640222,57.771304250945924,21.571165819005454,32.075391763073036,114.38448296831835,52.20414356017512,32.84855482421385,50.765839330222605,48.77861663164735,25.266000747680664,76.19518738682187,148.10000610351562,276.8523729632629,198.76840828608167,325.0400085449219,40.169927482597885,124.30313094858246,41.13338024370636,56.26475562883755,307.3599853515625,81.38241474287756,96.07743886612963,101.89399699776015,194.34312411487392,75.44999694824219,56.75159787643938,117.4464518537304,320.1414949233742,107.83414521752486,182.32001970081166,50.682799377661,108.07652160248229,104.41760391083511,278.5148524221283,69.7245316500794,284.80219910980713,125.85534420727139,164.1712809680238,55.60362405151924,116.26513197431024,37.530346504959454
